"","Location","TimeFrame","DataFormat","Child","Unemployment"
"503","Briscoe",2010,"Number",101,41
"504","Briscoe",2010,"Percent",0.286,0.059
"505","Briscoe",2011,"Number",105,46
"506","Briscoe",2011,"Percent",0.274,0.068
"507","Brooks",2001,"Number",1015,198
"508","Brooks",2001,"Percent",0.423,0.057
"509","Brooks",2002,"Number",981,263
"510","Brooks",2002,"Percent",0.412,0.075
"511","Brooks",2003,"Number",962,299
"512","Brooks",2003,"Percent",0.41,0.084
"513","Brooks",2004,"Number",915,258
"514","Brooks",2004,"Percent",0.396,0.079
"515","Brooks",2005,"Number",1120,221
"516","Brooks",2005,"Percent",0.493,0.07
"517","Brooks",2006,"Number",1080,194
"518","Brooks",2006,"Percent",0.477,0.063
"519","Brooks",2007,"Number",1009,168
"520","Brooks",2007,"Percent",0.467,0.055
"521","Brooks",2008,"Number",966,178
"522","Brooks",2008,"Percent",0.452,0.054
"523","Brooks",2009,"Number",1026,319
"524","Brooks",2009,"Percent",0.468,0.095
"525","Brooks",2010,"Number",984,322
"526","Brooks",2010,"Percent",0.495,0.099
"527","Brooks",2011,"Number",969,301
"528","Brooks",2011,"Percent",0.481,0.089
"529","Brown",2001,"Number",2313,643
"530","Brown",2001,"Percent",0.251,0.037
"531","Brown",2002,"Number",2299,846
"532","Brown",2002,"Percent",0.251,0.049
"533","Brown",2003,"Number",2490,784
"534","Brown",2003,"Percent",0.271,0.045
"535","Brown",2004,"Number",2382,1013
"536","Brown",2004,"Percent",0.263,0.055
"537","Brown",2005,"Number",2600,851
"538","Brown",2005,"Percent",0.292,0.046
"539","Brown",2006,"Number",2422,877
"540","Brown",2006,"Percent",0.274,0.045
"541","Brown",2007,"Number",2348,786
"542","Brown",2007,"Percent",0.268,0.042
"543","Brown",2008,"Number",2276,841
"544","Brown",2008,"Percent",0.261,0.045
"545","Brown",2009,"Number",2356,1333
"546","Brown",2009,"Percent",0.27,0.069
"547","Brown",2010,"Number",2503,1377
"548","Brown",2010,"Percent",0.285,0.073
"549","Brown",2011,"Number",2692,1353
"550","Brown",2011,"Percent",0.307,0.072
"551","Burleson",2001,"Number",926,207
"552","Burleson",2001,"Percent",0.21,0.029
"553","Burleson",2002,"Number",897,338
"554","Burleson",2002,"Percent",0.204,0.044
"555","Burleson",2003,"Number",958,434
"556","Burleson",2003,"Percent",0.222,0.054
"557","Burleson",2004,"Number",927,456
"558","Burleson",2004,"Percent",0.215,0.055
"559","Burleson",2005,"Number",1103,347
"560","Burleson",2005,"Percent",0.259,0.04
"561","Burleson",2006,"Number",997,358
"562","Burleson",2006,"Percent",0.248,0.041
"563","Burleson",2007,"Number",898,311
"564","Burleson",2007,"Percent",0.229,0.038
