"","Location","TimeFrame","DataFormat","Child","Unemployment"
"443","Bowie",2005,"Number",5543,2326
"444","Bowie",2005,"Percent",0.259,0.054
"445","Bowie",2006,"Number",5234,2336
"446","Bowie",2006,"Percent",0.245,0.054
"447","Bowie",2007,"Number",5049,2062
"448","Bowie",2007,"Percent",0.237,0.049
"449","Bowie",2008,"Number",5609,2214
"450","Bowie",2008,"Percent",0.26,0.051
"451","Bowie",2009,"Number",6273,2957
"452","Bowie",2009,"Percent",0.277,0.067
"453","Bowie",2010,"Number",6155,3756
"454","Bowie",2010,"Percent",0.278,0.083
"455","Bowie",2011,"Number",6190,3512
"456","Bowie",2011,"Percent",0.28,0.077
"457","Brazoria",2000,"Number",9930,6627
"458","Brazoria",2000,"Percent",0.141,0.062
"459","Brazoria",2001,"Number",10168,6324
"460","Brazoria",2001,"Percent",0.14,0.059
"461","Brazoria",2002,"Number",9956,8180
"462","Brazoria",2002,"Percent",0.135,0.074
"463","Brazoria",2003,"Number",11352,10182
"464","Brazoria",2003,"Percent",0.151,0.089
"465","Brazoria",2004,"Number",10990,9153
"466","Brazoria",2004,"Percent",0.144,0.07
"467","Brazoria",2005,"Number",11958,7506
"468","Brazoria",2005,"Percent",0.159,0.056
"469","Brazoria",2006,"Number",12270,6817
"470","Brazoria",2006,"Percent",0.159,0.049
"471","Brazoria",2007,"Number",10233,6136
"472","Brazoria",2007,"Percent",0.126,0.044
"473","Brazoria",2008,"Number",10423,7435
"474","Brazoria",2008,"Percent",0.125,0.052
"475","Brazoria",2009,"Number",11796,11871
"476","Brazoria",2009,"Percent",0.139,0.081
"477","Brazoria",2010,"Number",13120,13384
"478","Brazoria",2010,"Percent",0.153,0.09
"479","Brazoria",2011,"Number",14645,13221
"480","Brazoria",2011,"Percent",0.169,0.086
"481","Brazos",2000,"Number",6394,1162
"482","Brazos",2000,"Percent",0.198,0.015
"483","Brazos",2001,"Number",6379,1269
"484","Brazos",2001,"Percent",0.194,0.016
"485","Brazos",2002,"Number",6464,1489
"486","Brazos",2002,"Percent",0.191,0.019
"487","Brazos",2003,"Number",6994,1896
"488","Brazos",2003,"Percent",0.209,0.023
"489","Brazos",2004,"Number",6958,3662
"490","Brazos",2004,"Percent",0.213,0.043
"491","Brazos",2005,"Number",7921,3454
"492","Brazos",2005,"Percent",0.246,0.039
"493","Brazos",2006,"Number",7864,3563
"494","Brazos",2006,"Percent",0.229,0.04
"495","Brazos",2007,"Number",8140,3107
"496","Brazos",2007,"Percent",0.224,0.036
"497","Brazos",2008,"Number",8177,3542
"498","Brazos",2008,"Percent",0.216,0.039
"499","Brazos",2009,"Number",9226,5252
"500","Brazos",2009,"Percent",0.237,0.054
"501","Brazos",2010,"Number",10257,6018
"502","Brazos",2010,"Percent",0.26,0.061
"503","Brazos",2011,"Number",9508,6398
"504","Brazos",2011,"Percent",0.242,0.064
"505","Brewster",2000,"Number",512,120
"506","Brewster",2000,"Percent",0.267,0.022
"507","Brewster",2001,"Number",498,125
"508","Brewster",2001,"Percent",0.252,0.022
"509","Brewster",2002,"Number",492,150
"510","Brewster",2002,"Percent",0.246,0.027
"511","Brewster",2003,"Number",503,143
"512","Brewster",2003,"Percent",0.251,0.024
"513","Brewster",2004,"Number",464,227
"514","Brewster",2004,"Percent",0.237,0.042
"515","Brewster",2005,"Number",530,188
"516","Brewster",2005,"Percent",0.275,0.036
"517","Brewster",2006,"Number",482,191
"518","Brewster",2006,"Percent",0.254,0.034
"519","Brewster",2007,"Number",423,172
"520","Brewster",2007,"Percent",0.227,0.032
"521","Brewster",2008,"Number",479,192
"522","Brewster",2008,"Percent",0.249,0.037
"523","Brewster",2009,"Number",392,261
"524","Brewster",2009,"Percent",0.218,0.049
"525","Brewster",2010,"Number",439,294
"526","Brewster",2010,"Percent",0.233,0.055
"527","Brewster",2011,"Number",422,273
"528","Brewster",2011,"Percent",0.235,0.053
"529","Briscoe",2000,"Number",152,26
"530","Briscoe",2000,"Percent",0.316,0.029
"531","Briscoe",2001,"Number",158,22
"532","Briscoe",2001,"Percent",0.333,0.027
"533","Briscoe",2002,"Number",111,28
"534","Briscoe",2002,"Percent",0.24,0.035
"535","Briscoe",2003,"Number",116,34
"536","Briscoe",2003,"Percent",0.246,0.048
"537","Briscoe",2004,"Number",101,46
"538","Briscoe",2004,"Percent",0.235,0.061
"539","Briscoe",2005,"Number",139,41
"540","Briscoe",2005,"Percent",0.327,0.056
"541","Briscoe",2006,"Number",112,35
"542","Briscoe",2006,"Percent",0.273,0.05
"543","Briscoe",2007,"Number",87,31
"544","Briscoe",2007,"Percent",0.257,0.043
"545","Briscoe",2008,"Number",98,31
"546","Briscoe",2008,"Percent",0.297,0.042
"547","Briscoe",2009,"Number",84,40
"548","Briscoe",2009,"Percent",0.249,0.056
"549","Briscoe",2010,"Number",101,41
"550","Briscoe",2010,"Percent",0.286,0.059
"551","Briscoe",2011,"Number",105,46
"552","Briscoe",2011,"Percent",0.274,0.068
"553","Brooks",2000,"Number",1097,235
"554","Brooks",2000,"Percent",0.458,0.075
"555","Brooks",2001,"Number",1015,198
"556","Brooks",2001,"Percent",0.423,0.057
"557","Brooks",2002,"Number",981,263
"558","Brooks",2002,"Percent",0.412,0.075
"559","Brooks",2003,"Number",962,299
"560","Brooks",2003,"Percent",0.41,0.084
"561","Brooks",2004,"Number",915,258
"562","Brooks",2004,"Percent",0.396,0.079
"563","Brooks",2005,"Number",1120,221
"564","Brooks",2005,"Percent",0.493,0.07
"565","Brooks",2006,"Number",1080,194
"566","Brooks",2006,"Percent",0.477,0.063
"567","Brooks",2007,"Number",1009,168
"568","Brooks",2007,"Percent",0.467,0.055
"569","Brooks",2008,"Number",966,178
"570","Brooks",2008,"Percent",0.452,0.054
"571","Brooks",2009,"Number",1026,319
"572","Brooks",2009,"Percent",0.468,0.095
"573","Brooks",2010,"Number",984,322
"574","Brooks",2010,"Percent",0.495,0.099
"575","Brooks",2011,"Number",969,301
"576","Brooks",2011,"Percent",0.481,0.089
"577","Brown",2000,"Number",2366,648
"578","Brown",2000,"Percent",0.254,0.038
"579","Brown",2001,"Number",2313,643
"580","Brown",2001,"Percent",0.251,0.037
"581","Brown",2002,"Number",2299,846
